id,name,desc,price,quantity
1,RGB Gaming Headset,"Surround sound gaming headset with noise-canceling microphone.",999.99,15
2,Elite Gaming Chair,"Ergonomic gaming chair with adjustable armrests and lumbar support.",3499.99,8
3,Pro Gaming Monitor,"27-inch QHD gaming monitor with 165Hz refresh rate and 1ms response time.",4999.99,10
4,Mechanical Gaming Keyboard,"Customizable RGB lighting and hot-swappable mechanical switches.",1299.99,25
5,High-Performance Gaming Mouse,"Lightweight mouse with precision sensor and 10 customizable buttons.",799.99,30
6,Gaming Laptop Cooler,"Cooling pad with RGB lighting and adjustable fan speeds.",499.99,12
7,Streaming Kit,"Complete kit with webcam, microphone, and ring light for game streaming.",1599.99,5
8,Gaming Console Stand,"All-in-one stand with charging dock and cooling fans.",399.99,20
9,VR Headset Pro,"Next-gen VR headset with 4K display and motion controllers.",8999.99,4
10,Racing Simulator,"Gaming racing seat with pedals and force feedback steering wheel.",7499.99,3
